PAT1,PAT2,PAT3,PAT4
-251.9992,211.5324,-96.4521,2.7041
-272.3305,211.6693,-57.2546,6.064
-296.3444,220.2687,-95.5849,-3.0512
-246.1249,224.1595,-107.1753,-4.3482
-242.5186,202.7821,-134.7471,-5.8421
-242.927,209.8397,-93.0188,-11.6174
-269.6311,205.3719,-94.8963,-13.9652
-278.8183,209.9607,-57.7972,-11.9273
-260.8575,233.945,-85.0807,-11.9677
-278.6003,234.2476,-95.6191,-13.6871
-229.1416,232.8199,-118.297,-15.8418
-237.4691,209.8635,-105.4992,-10.8295
-270.304,195.6413,-89.4491,-28.3564
-197.0091,206.2975,-86.3061,-24.0248
-197.4108,218.6291,-91.6259,-26.4183
-216.7772,189.0877,-109.1065,-27.2469
-228.6945,224.8801,-98.783,-31.2966
-267.6069,200.7837,-69.9184,-28.2196
-253.0247,190.926,-38.9813,-17.3014
-238.4145,185.3748,-64.7803,-33.553
-195.0873,182.9271,-63.1612,-22.1223
-205.3477,189.8095,-94.555,-24.0973
-267.4592,183.0757,-38.3418,-25.9732
-333.177,186.31,-65.4331,-32.2631
-262.5754,178.2514,-61.4759,-33.5561
-235.9772,188.9906,-58.2488,-32.4811
-208.7198,179.7502,-66.6595,-35.4086
-215.5769,183.7001,-10.12,-40.0894
-257.8427,191.8411,-26.8067,-33.976
-257.5088,191.6342,-30.9439,-30.7401
-226.042,178.5662,-28.8625,-33.2482
-212.3232,172.27,-46.8357,-31.2726
-247.0791,168.7975,-41.0722,-32.9465
-239.3568,173.4026,-58.6992,-24.5855
-261.2011,172.4602,-81.2189,-20.294
-243.1644,177.6175,-100.5739,-26.951
-236.2003,175.8195,-57.2717,-28.4552
-227.25,185.3992,-62.4604,-37.3292
-226.38,165.5194,-28.361,-35.8944
-233.2191,152.9391,-84.3355,-33.4297
-238.3401,165.0769,-65.5299,-22.336
-216.1881,163.1584,-62.2501,-16.4247
-207.2827,154.3028,-60.594,-27.5895
-213.2249,196.3818,0.9218,-12.4408
-169.325,189.7897,-62.7091,-11.8826
-151.2055,173.6609,-51.9979,-22.8833
-177.3344,177.4519,-65.8091,-22.4519
-189.184,149.0455,-55.9385,-27.2908
-200.2361,152.4956,-58.8416,-27.5045
-210.4045,141.5546,-30.8617,-24.9529
-208.2002,140.669,-58.9185,-17.973
-196.5082,141.7929,-34.8162,-22.6928
-211.0648,158.17,-47.9779,-30.705
-197.5529,133.8533,-56.7284,-26.4853
-195.7468,140.1726,-65.0704,-17.6427
-236.7693,133.8517,-83.6774,-28.486
-238.5741,141.4976,-68.149,-35.0414
-260.8772,139.2823,-55.6093,-23.051
-207.6005,137.4287,-34.1549,-26.7314
-235.0837,116.9811,-63.6083,-30.7909
-251.3212,117.1002,-85.2053,-33.9183
-261.2328,109.3704,-85.5417,-41.3883
-248.1186,100.7183,-92.2777,-34.791
-238.4678,123.9027,-82.4836,-25.6796
-215.9591,120.9152,-53.3087,-31.0546
-261.6843,107.1387,-86.4788,-36.0553
-258.7105,100.3858,-93.3695,-37.9693
-249.0209,117.5143,-91.4791,-38.5901
-196.4083,122.4964,-66.3606,-43.4785
-132.2457,127.5226,-58.4295,-40.973
-171.1273,106.4433,-88.3448,-41.598
-222.3556,128.6008,-92.3894,-28.0855
-227.9059,118.3385,-84.3401,-35.1775
-163.7331,116.0637,-89.4515,-29.6053
-149.7608,97.2763,-62.3479,-36.6865
-88.7822,91.5546,-58.431,-26.0591
-62.4283,89.928,-91.3593,-15.7289
-114.0593,86.4725,-92.4252,-31.5932
-178.2963,79.5124,-94.3667,-19.2956
