TIME,AF3,F7,F3,F4,F8,AF4
1607028,-483,568,-58,626,-357,-956
1607044,-494,558,-50,617,-354,-978
1607061,-449,559,-33,626,-367,-964
1607093,-499,533,-35,623,-402,-965
1607111,-518,526,-89,612,-412,-984
1607128,-476,568,-59,627,-348,-955
1607143,-470,565,-69,621,-408,-968
1607161,-490,529,-67,617,-388,-926
1607177,-470,539,-58,624,-364,-952
1607209,-440,555,-91,623,-385,-912
1607226,-444,566,-58,624,-358,-893
1607244,-455,525,-45,630,-343,-880
1607260,-465,565,-48,607,-357,-878
1607277,-411,565,-40,620,-350,-908
1607293,-454,530,-63,618,-415,-931
1607311,-453,494,-61,614,-399,-894
1607327,-479,528,-67,621,-409,-912
1607345,-463,530,-59,619,-393,-916
1607362,-403,572,-20,609,-353,-877
1607377,-434,536,-53,618,-377,-868
1607395,-440,530,-96,611,-427,-891
1607412,-452,566,-350,612,-381,-894
1607442,-483,536,-315,609,-439,-913
1607460,-441,540,-271,607,-415,-877
1607476,-428,547,-267,604,-429,-882
1607493,-523,498,-278,603,-449,-927
1607510,-470,518,-258,607,-475,-886
1607526,-521,498,-260,606,-452,-970
1607543,-531,479,-267,605,-494,-950
1607560,-563,482,-267,608,-497,-990
1607577,-508,521,-226,609,-435,-910
1607593,-500,506,-229,607,-434,-918
1607610,-527,506,-212,607,-462,-908
1607627,-514,504,-238,600,-470,-932
1607643,-518,508,-209,610,-463,-922
1607675,-524,511,-198,597,-487,-927
1607692,-495,540,-214,604,-492,-963
1607709,-526,494,-195,599,-460,-897
1607726,-498,520,-185,599,-474,-898
1607743,-479,539,-174,595,-429,-834
1607759,-541,496,-200,596,-478,-914
1607791,-583,481,-186,596,-533,-923
1607809,-491,521,-155,597,-430,-845
1607826,-566,487,-178,595,-520,-873
1607843,-571,438,-186,596,-546,-992
1607859,-566,450,-199,593,-565,-927
1607876,-571,457,-178,593,-522,-952
1607893,-547,492,-152,597,-519,-888
1607909,-515,481,-167,596,-540,-922
1607926,-566,421,-180,596,-498,-919
1607943,-568,472,-152,595,-542,-969
1607959,-557,457,-159,594,-540,-959
1607976,-528,450,-154,593,-563,-928
1607992,-566,457,-129,594,-536,-986
1608009,-520,475,-140,594,-517,-955
1608026,-564,468,-146,596,-566,-954
1608042,-520,478,-121,588,-544,-949
1608059,-533,441,-130,588,-562,-963
1608075,-534,471,-124,593,-521,-931
1608092,-522,477,-117,593,-553,-935
1608109,-485,484,-113,599,-523,-904
1608126,-494,491,-93,596,-481,-849
1608142,-492,485,-94,593,-510,-897
1608159,-498,451,-95,593,-512,-859
1608176,-495,480,-63,597,-516,-916
1608192,-503,469,-95,591,-541,-860
1608210,-554,483,-66,588,-500,-880
1608226,-549,451,-101,583,-581,-937
1608257,-556,491,-68,584,-526,-896
1608275,-530,514,-61,575,-508,-863
1608290,-531,534,-54,576,-467,-836
1608307,-560,490,-66,575,-537,-876
1608324,-578,518,-62,568,-530,-857
1608341,-659,503,-67,571,-541,-930
1608358,-669,508,-81,567,-540,-878
1608376,-725,481,-82,568,-567,-942
1608392,-663,513,-57,567,-534,-878
1608409,-691,510,-48,565,-573,-935
1608425,-645,543,-26,565,-529,-911
1608442,-680,526,-52,565,-562,-928
1608458,-637,539,-34,567,-551,-870
1608476,-624,522,-22,563,-542,-850
1608493,-596,533,-26,562,-573,-875
1608510,-617,508,-6,583,-522,-887
1608525,-612,536,-23,591,-542,-847
1608542,-562,514,-1,609,-582,-862
1608558,-601,498,-4,611,-562,-872
1608575,-631,470,3,619,-546,-847
1608592,-627,479,-5,612,-573,-862
1608608,-638,467,-12,608,-577,-901
1608625,-626,473,-8,604,-578,-892
1608642,-552,483,13,600,-534,-803
1608659,-601,457,3,595,-536,-830
1608675,-627,443,-28,595,-590,-890
1608692,-634,471,-36,581,-569,-896
1608709,-608,467,-30,577,-521,-837
1608726,-627,477,-34,577,-521,-855
1608742,-562,486,-1,574,-505,-776
1608759,-585,491,-38,582,-506,-855
1608775,-594,459,1,592,-541,-762
1608792,-564,470,-5,599,-549,-801
1608808,-566,463,1,601,-543,-802
1608839,-474,564,71,625,-442,-687
1608857,-452,540,64,626,-406,-653
1608873,-468,511,59,625,-454,-714
1608890,-475,554,70,625,-453,-683
1608907,-386,568,106,614,-385,-656
1608923,-428,575,85,611,-409,-670
1608940,-432,588,88,604,-413,-684
1608957,-376,611,120,608,-357,-618
1608973,-354,640,122,602,-335,-588
1608989,-393,582,122,598,-357,-628
1609006,-402,561,98,595,-405,-656
1609023,-421,557,60,591,-450,-687
1609040,-395,572,98,587,-429,-695
1609057,-341,604,144,581,-333,-647
1609073,-312,592,144,585,-368,-605
1609090,-333,572,126,577,-356,-628
1609106,-336,554,123,578,-392,-661
1609123,-315,592,118,581,-358,-649
1609140,-346,569,131,580,-382,-651
1609156,-347,564,113,571,-413,-665
1609173,-317,568,154,577,-370,-656
1609190,-319,556,144,573,-390,-635
1609206,-299,567,125,573,-379,-622
1609223,-341,566,158,578,-330,-613
1609239,-284,580,151,571,-335,-572
1609256,-270,557,151,573,-331,-587
1609273,-312,552,118,575,-386,-638
1609290,-283,565,166,573,-340,-562
1609306,-279,544,168,576,-380,-621
1609323,-266,556,153,579,-314,-556
1609340,-261,548,179,586,-372,-584
1609357,-272,540,186,583,-348,-586
1609374,-225,535,182,576,-377,-567
1609390,-235,527,183,581,-355,-585
1609407,-223,535,186,576,-344,-563
1609423,-203,562,195,579,-381,-562
1609440,-227,544,212,580,-333,-522
1609456,-154,534,223,578,-387,-596
1609473,-156,530,237,581,-381,-497
1609491,-177,518,212,575,-368,-524
1609507,-174,493,228,585,-379,-535
1609524,-165,507,246,580,-375,-505
1609541,-169,454,243,586,-404,-548
1609557,-162,467,268,589,-421,-517
1609574,-245,397,227,580,-464,-594
1609590,-182,374,248,576,-454,-535
1609607,-229,343,251,580,-474,-573
1609624,-214,317,251,578,-531,-598
1609654,-278,244,239,573,-569,-583
1609671,-240,251,260,579,-582,-620
1609688,-252,198,256,576,-608,-635
1609705,-267,174,268,579,-629,-605
1609722,-286,147,293,577,-622,-608
1609738,-306,120,238,569,-660,-635
1609770,-354,63,252,568,-744,-722
1609788,-330,26,264,568,-716,-664
1609804,-353,8,248,569,-750,-729
1609820,-369,-23,255,564,-777,-739
1609838,-380,-40,237,568,-809,-772
1609855,-371,-39,249,565,-776,-736
1609871,-452,-114,226,563,-845,-844
1609887,-396,-92,281,562,-805,-807
1609905,-397,-133,257,563,-860,-837
1609921,-459,-163,260,565,-874,-844
1609938,-410,-161,269,560,-877,-866
1609954,-445,-151,281,565,-874,-826
1609971,-469,-185,264,566,-920,-904
1609988,-474,-200,279,560,-935,-929
1610005,-480,-183,286,563,-923,-941
1610021,-465,-213,288,566,-960,-949
1610037,-498,-245,286,562,-981,-984
1610055,-506,-247,281,568,-991,-994
1610071,-470,-210,312,563,-968,-968
1610087,-499,-248,309,568,-1008,-988
1610119,-468,-217,328,575,-1034,-1062
1610137,-501,-245,322,571,-987,-1037
1610153,-436,-223,350,577,-987,-1038
1610170,-465,-220,335,575,-1015,-1119
1610187,-493,-254,323,576,-1026,-1134
1610204,-476,-213,337,570,-1001,-1143
1610220,-457,-221,351,583,-991,-1092
1610237,-479,-226,344,578,-1019,-1134
1610254,-489,-207,343,580,-1025,-1184
1610270,-476,-220,369,573,-1057,-1206
1610287,-531,-257,337,565,-1099,-1245
1610304,-501,-239,358,579,-1041,-1296
1610320,-531,-253,321,566,-1099,-1291
1610337,-574,-264,326,569,-1073,-1344
1610353,-575,-289,298,565,-1092,-1324
1610370,-599,-266,305,564,-1099,-1355
1610387,-564,-301,338,565,-1099,-1368
1610404,-588,-305,293,563,-1114,-1365
1610420,-668,-318,293,560,-1141,-1458
1610436,-629,-281,289,564,-1113,-1419
1610453,-644,-299,292,553,-1130,-1430
1610470,-677,-290,270,561,-1111,-1482
1610486,-671,-290,272,556,-1130,-1468
1610503,-662,-322,285,551,-1147,-1506
1610520,-652,-269,282,564,-1068,-1411
1610537,-655,-268,291,565,-1079,-1465
1610553,-647,-253,286,563,-1100,-1490
1610570,-658,-252,317,572,-1056,-1493
1610587,-635,-257,293,567,-1075,-1459
1610604,-629,-267,324,566,-1073,-1526
1610621,-662,-235,310,571,-1077,-1504
1610637,-662,-261,288,561,-1055,-1500
1610654,-674,-248,309,566,-1045,-1536
1610670,-645,-247,306,565,-1078,-1557
1610688,-660,-263,300,563,-1074,-1550
1610704,-679,-239,306,566,-1059,-1557
1610720,-654,-228,311,560,-1046,-1561
1610737,-663,-225,298,568,-1032,-1540
1610753,-669,-221,309,567,-1029,-1593
1610770,-675,-253,281,563,-1062,-1600
1610787,-699,-211,302,568,-1059,-1625
1610804,-644,-209,316,566,-1003,-1554
1610820,-682,-178,303,563,-1033,-1607
1610837,-684,-187,305,561,-983,-1587
1610854,-657,-172,319,565,-983,-1593
1610870,-684,-154,301,567,-957,-1572
1610887,-698,-169,296,556,-991,-1615
1610903,-646,-141,314,560,-930,-1573
1610920,-716,-184,278,552,-923,-1581
1610936,-687,-120,313,553,-939,-1617
1610953,-627,-129,322,552,-870,-1527
1610970,-670,-121,321,548,-906,-1580
1610988,-618,-103,330,549,-854,-1538
1611004,-621,-74,356,548,-885,-1544
1611020,-579,-52,316,538,-808,-1491
1611050,-576,-56,353,530,-858,-1533
1611068,-568,10,379,517,-738,-1400
1611084,-510,58,401,525,-705,-1399
1611101,-438,98,422,512,-661,-1365
1611118,-469,50,380,514,-636,-1403
1611135,-455,96,418,515,-620,-1345
1611167,-429,136,431,523,-594,-1352
1611184,-366,175,467,536,-559,-1331
1611201,-360,183,463,545,-497,-1296
1611218,-365,165,441,554,-556,-1349
1611235,-420,146,449,547,-550,-1399
1611251,-370,191,476,557,-522,-1304
1611268,-332,213,490,548,-463,-1294
1611284,-354,213,495,560,-501,-1328
1611301,-410,207,473,546,-501,-1347
1611317,-382,206,463,546,-503,-1340
1611334,-388,234,471,547,-492,-1325
1611351,-327,278,490,548,-461,-1294
1611367,-388,231,465,544,-503,-1294
1611385,-409,214,447,543,-496,-1315
1611401,-452,179,445,540,-554,-1362
1611418,-408,229,448,539,-514,-1372
1611434,-421,234,469,538,-450,-1265
1611451,-369,275,455,549,-435,-1284
1611468,-415,248,449,544,-469,-1324
1611485,-406,264,473,545,-472,-1333
1611516,-410,279,438,538,-453,-1344
1611534,-399,304,451,544,-433,-1301
1611550,-411,302,439,538,-468,-1319
1611567,-385,308,399,462,-427,-1313
1611584,-365,354,346,406,-378,-1236
1611601,-382,306,440,554,-427,-1295
1611617,-364,330,439,567,-423,-1251
1611634,-396,332,445,569,-411,-1259
1611651,-405,337,440,568,-407,-1312
1611667,-437,323,413,565,-455,-1314
1611683,-349,387,456,569,-350,-1251
1611701,-368,362,445,562,-362,-1256
1611717,-384,381,465,565,-350,-1244
1611735,-378,370,446,560,-391,-1278
1611750,-395,348,433,566,-413,-1307
1611767,-382,354,442,562,-367,-1237
1611784,-391,392,441,567,-385,-1282
1611801,-392,365,441,547,-357,-1243
1611817,-417,301,408,556,-401,-1291
1611834,-448,290,409,557,-394,-1291
1611866,-427,308,429,581,-392,-1267
1611882,-448,300,510,780,-400,-1334
1611899,-439,277,526,754,-443,-1311
1611917,-405,296,488,660,-375,-1244
1611933,-407,323,447,584,-382,-1267
1611949,-432,299,424,565,-381,-1263
1611967,-405,296,409,555,-389,-1205
1611983,-457,276,406,565,-394,-1284
1611999,-397,291,419,567,-355,-1233
1612016,-442,282,384,562,-388,-1270
1612034,-416,276,387,564,-375,-1284
1612050,-413,294,402,566,-375,-1261
1612066,-410,286,397,566,-373,-1219
1612098,-382,301,384,551,-360,-1202
1612115,-359,328,413,558,-319,-1197
1612133,-370,301,384,562,-361,-1204
1612149,-375,324,388,565,-389,-1230
1612165,-393,317,408,563,-327,-1168
1612182,-365,321,412,566,-389,-1193
1612199,-347,329,430,569,-329,-1145
1612216,-282,372,446,571,-318,-1105
1612233,-286,381,445,565,-317,-1074
1612249,-329,325,427,568,-359,-1087
1612265,-310,374,462,569,-292,-1053
1612282,-242,380,469,572,-253,-1000
1612298,-189,431,511,572,-198,-946
1612330,-157,512,507,577,-153,-890
1612347,-152,495,497,571,-149,-882
1612366,-143,510,515,576,-163,-932
1612382,-108,549,512,574,-116,-868
1612398,-72,560,532,570,-122,-835
1612415,-79,561,524,571,-160,-877
1612432,-73,566,534,576,-104,-828
1612448,-62,568,533,575,-142,-826
1612465,-56,568,517,578,-120,-855
