t,AF3,F7,F3,F4,F8,AF7
1660.0000,-27.5092,337.2737,332.6747,653.8848,-127.9572,-57.9664
1680.0000,-39.1043,299.4055,333.4221,654.9481,-157.6894,-63.3696
1700.0000,-23.4989,322.1411,358.5114,694.8871,-122.9887,-31.1778
1720.0000,-26.9554,321.3700,337.5421,654.0979,-153.7227,-61.3987
1740.0000,-31.7276,332.2443,318.3254,646.8786,-152.9175,-63.3198
1760.0000,-26.7870,335.5530,336.7611,660.0424,-121.6557,-56.3822
1780.0000,-24.8660,349.1880,324.1761,652.8293,-130.7023,-61.3362
1800.0000,-32.6164,359.6190,323.9310,658.9675,-127.9093,-35.2341
1820.0000,-28.1553,382.1790,329.0012,654.9704,-124.6543,-31.4937
1840.0000,-33.4651,372.5894,319.1117,658.0984,-129.9096,-32.1054
1860.0000,-20.2729,389.2527,344.8322,661.9952,-153.5359,-21.5405
1880.0000,-0.3299,403.4678,357.2581,672.1094,-134.8820,0.9679
1900.0000,-26.4802,420.1516,331.6596,657.9824,-140.4598,-2.6799
1920.0000,-30.9867,450.5936,313.4389,630.8598,-148.1640,-9.9436
1940.0000,-18.6061,503.1547,331.4958,659.0791,-152.5116,-3.7063
1960.0000,-1.7852,588.4579,338.5648,672.0469,-121.2214,10.0027
1980.0000,-24.8270,646.2744,330.2964,656.1254,-151.3694,-5.8924
2000.0000,-30.5715,704.6298,324.7807,661.8225,-152.1725,-3.7344
2020.0000,-31.0457,754.2883,317.1367,642.1296,-153.1987,-6.8895
2040.0000,-29.3289,820.5476,323.9013,651.8065,-169.2964,-33.6300
2060.0000,-32.2839,845.5765,313.0374,640.0437,-178.2295,-21.9003
2080.0000,-32.2223,859.3779,305.0194,631.8016,-187.4770,-31.7159
2100.0000,-21.5218,898.4432,327.8760,652.1805,-153.0245,-2.0626
2120.0000,-27.0463,921.2909,324.1713,653.8674,-167.5409,-4.5574
2140.0000,-5.7884,924.6738,312.7577,645.1862,-174.0360,-11.9278
2160.0000,-18.7654,947.3857,319.3071,653.8472,-185.4858,5.0640
2180.0000,-2.8712,977.7881,332.6146,663.2638,-165.8826,6.7606
2200.0000,3.1705,988.3278,337.4137,666.7961,-158.7261,20.0485
2220.0000,0.6822,988.7159,329.5033,671.1428,-159.8492,11.6695
2240.0000,-11.3583,1009.2241,331.4872,656.8034,-180.7259,0.3988
2260.0000,3.6183,1010.9585,335.4332,658.1853,-179.7918,20.8031
2280.0000,7.4421,1044.0195,337.5867,660.8301,-157.8043,22.1240
2300.0000,5.3305,1047.1185,351.3781,667.1166,-177.8029,14.7548
2320.0000,23.7444,1067.0302,352.6242,688.8639,-147.8701,33.0759
2340.0000,3.3291,1065.1381,335.3212,654.1717,-158.7755,31.8845
2360.0000,31.7586,1068.8225,336.6646,665.7158,-134.9420,35.1320
2380.0000,24.1140,1094.2214,346.2977,680.2917,-124.6568,34.9845
2400.0000,27.9468,1102.9233,360.7162,682.7264,-126.9104,42.0810
2420.0000,69.9849,1109.4031,381.2244,698.1235,-119.4895,68.9795
2440.0000,25.9809,1093.6519,360.7277,680.8329,-156.9861,26.7947
2460.0000,56.8449,1130.4686,368.2159,693.2117,-113.4728,62.0498
2480.0000,59.2091,1135.7677,370.7217,692.7638,-131.0581,61.7937
2500.0000,57.8031,1143.5021,363.2207,684.0396,-141.5382,57.2334
