t,AF3,F7,F3,F4,F8,AF7
1640.0000,-18.6672,593.9134,585.5539,679.7051,-441.3027,-483.6671
1660.0000,-11.5181,593.1494,580.4260,688.3463,-424.0059,-487.9977
1680.0000,-46.0270,587.5769,590.5852,662.3419,-459.6496,-514.9639
1700.0000,-73.1356,567.5641,577.3582,628.8069,-467.6838,-533.6191
1720.0000,-50.3664,584.2659,580.6615,651.8975,-433.0010,-502.0914
1740.0000,-48.8074,572.0145,589.2972,647.0228,-448.2544,-492.5571
1760.0000,-22.9546,591.0789,580.7057,673.7347,-420.3788,-477.3872
1780.0000,-30.2572,590.1885,582.2569,673.4318,-420.9125,-487.3466
1800.0000,-23.3327,589.6694,585.7256,673.4277,-443.6143,-496.5576
1820.0000,-45.0633,558.5504,582.2233,676.6846,-445.6132,-495.0706
1840.0000,-19.5151,584.6369,579.7668,711.1616,-454.9872,-490.5383
1860.0000,-2.6897,606.6989,588.1852,706.9014,-432.4362,-480.1260
1880.0000,-34.7506,580.3225,575.7650,697.8762,-424.0984,-485.5867
1900.0000,-50.4825,570.8315,575.1635,692.2197,-439.2896,-499.9733
1920.0000,-34.1014,586.1210,585.8146,730.6190,-400.4682,-464.6743
1940.0000,30.6956,612.9814,584.1552,734.2831,-385.9645,-440.0711
1960.0000,5.4393,585.0737,584.8275,687.4618,-448.5416,-480.6287
1980.0000,-27.9154,569.0654,586.1546,676.5543,-471.8400,-516.9244
2000.0000,-9.5104,596.8594,576.8315,731.2266,-419.6558,-466.6852
2020.0000,-3.8265,615.2861,587.1540,754.6639,-386.7823,-437.8658
2040.0000,13.0758,625.9037,582.8304,763.1589,-368.9283,-431.7253
2060.0000,-47.5441,579.3721,578.1356,672.6552,-440.6749,-499.8886
2080.0000,-39.0448,606.7620,587.8691,700.1464,-426.9757,-498.7802
2100.0000,-16.3227,628.3578,586.1464,756.9509,-389.4323,-431.9304
2120.0000,38.7164,648.6562,584.8395,794.0833,-351.0353,-387.6080
2140.0000,-14.1206,590.5682,586.1545,751.9802,-384.3374,-432.8233
2160.0000,-36.1173,605.4498,586.8445,716.0082,-409.2773,-447.6683
2180.0000,-8.0105,620.4883,587.1761,734.8987,-401.2344,-440.8844
2200.0000,17.5442,627.3846,584.8124,769.0043,-374.4419,-399.6429
2220.0000,60.8292,663.7020,590.1619,830.1326,-325.9529,-345.8439
2240.0000,10.3063,601.3647,588.8214,774.8885,-372.5091,-407.7509
2260.0000,2.0681,634.8743,585.2014,803.1847,-359.9058,-386.8885
