t,AF3,F7,F3,F4,F8,AF7
1640.0000,-205.7282,621.7193,316.3616,659.5016,-329.8585,-978.8851
1660.0000,-206.0931,629.2960,298.6153,658.4257,-318.9208,-977.8730
1680.0000,-183.8320,635.6547,307.3280,665.4888,-284.7995,-951.9929
1700.0000,-185.9480,627.4529,312.6443,667.5348,-273.9578,-945.7477
1720.0000,-157.9254,631.6398,319.3174,673.4574,-271.7214,-925.1063
1740.0000,-166.8005,616.5166,323.6715,674.5680,-283.0131,-939.5952
1760.0000,-197.0863,581.5836,302.2868,666.4279,-295.7561,-956.2660
1780.0000,-206.6691,582.4964,302.7052,670.6503,-291.0602,-950.4514
1800.0000,-205.2966,580.4366,300.2618,671.3822,-282.6969,-957.4335
1820.0000,-212.4286,600.6435,311.7440,674.6619,-310.1216,-953.2797
1840.0000,-196.4145,595.4363,309.2456,664.2592,-285.6914,-939.5980
1860.0000,-208.3426,591.7388,302.7609,665.7383,-305.1325,-958.1046
1880.0000,-241.6355,559.3550,291.1953,642.2350,-349.7422,-994.8158
1900.0000,-256.1522,551.7423,286.7837,648.6949,-355.1776,-1024.9606
1920.0000,-231.7343,560.2457,298.1934,661.2632,-308.7267,-975.9729
1940.0000,-214.9657,566.7541,316.8080,658.7296,-327.1106,-977.7532
1960.0000,-175.8807,565.2050,347.1720,670.1974,-305.7044,-944.1430
1980.0000,-180.8157,578.8925,332.8303,660.8389,-313.1872,-936.5447
2000.0000,-180.0633,583.0933,333.1342,657.1510,-323.6567,-931.3379
2020.0000,-177.6536,584.9203,328.8791,638.7843,-304.1532,-928.3483
2040.0000,-182.2234,589.0186,320.1118,640.1481,-309.7224,-945.5208
2060.0000,-192.4900,577.9199,325.9004,636.8177,-308.1619,-955.1783
2080.0000,-186.3775,599.9832,314.0834,645.1390,-324.6528,-942.7028
2100.0000,-202.4052,571.0217,315.9081,643.8083,-315.1638,-954.9883
2120.0000,-200.4922,590.9623,315.0644,652.1110,-297.7148,-958.9011
2140.0000,-190.3179,577.0234,314.9511,655.8927,-308.1497,-944.8147
2160.0000,-215.5883,570.0220,305.0248,646.1638,-323.6738,-986.0821
2180.0000,-216.1266,563.0599,297.9753,642.8727,-351.1245,-981.6323
2200.0000,-214.6923,564.9744,303.0138,645.1299,-339.7483,-977.2500
2220.0000,-213.9992,561.0520,301.9826,648.8128,-342.0744,-979.4550
2240.0000,-210.7874,566.8581,300.9892,647.1151,-354.8236,-984.4382
2260.0000,-220.9385,561.0695,303.0161,643.8113,-340.0210,-992.2822
2280.0000,-209.8708,562.9083,307.9616,642.1232,-342.8348,-981.6065
2300.0000,-215.8212,555.0988,314.0388,641.8170,-330.9437,-966.0992
2320.0000,-206.0346,539.9201,311.9531,640.1488,-323.8620,-958.7713
2340.0000,-196.7461,563.1106,311.0492,640.8577,-302.9221,-947.9404
2360.0000,-219.0822,558.9314,301.9162,633.1826,-319.9123,-968.9380
2380.0000,-191.6542,567.0463,317.0684,618.7619,-291.8230,-945.7822
2400.0000,-202.1398,559.9002,317.9350,616.2213,-279.9884,-934.0695
2420.0000,-215.6296,559.1407,305.0664,603.7417,-322.7095,-954.6298
2440.0000,-184.1938,573.9073,336.9246,620.1995,-305.1506,-938.2294
2460.0000,-177.5614,567.0183,322.0788,617.7808,-298.6512,-928.4567
2480.0000,-183.2440,542.9313,302.9013,610.2139,-336.2332,-948.3871
2500.0000,-206.5848,537.1143,303.0836,612.7592,-322.5067,-961.3365
2520.0000,-208.3157,537.9185,303.9104,611.2743,-322.3173,-932.5231
2540.0000,-217.5037,527.0480,302.0764,613.6829,-323.3965,-954.1866
