t,1,2,3,4,5,6
1660.0000,450.1660,659.4555,-1011.7215,511.7209,651.0139,-243.6535
1680.0000,451.2349,655.1808,-1037.1099,529.4537,651.5438,-244.1526
1700.0000,485.5180,683.9148,-1037.4087,540.2597,685.0933,-232.4133
1720.0000,470.4272,655.3484,-1004.9652,529.8340,667.3373,-230.5178
1740.0000,448.7161,656.2468,-1015.5665,515.6153,647.8587,-244.1377
1760.0000,466.1729,648.6956,-1019.3976,547.1445,678.0270,-239.6550
1780.0000,495.0131,637.5348,-977.3979,535.0956,694.3207,-223.2890
1800.0000,453.3693,655.1887,-1012.3748,524.8198,661.6299,-237.7836
1820.0000,445.7400,640.1429,-1002.1579,506.4161,652.6775,-244.4651
1840.0000,481.7583,669.3337,-1007.3710,526.7579,689.0549,-226.9580
1860.0000,479.7303,689.8963,-1030.5292,537.0076,688.3839,-227.7900
1880.0000,474.0092,639.5033,-983.7402,527.3479,685.4472,-228.8633
1900.0000,474.5780,665.5352,-1031.2751,570.5965,691.8669,-231.1217
1920.0000,495.5988,715.0175,-1030.5193,506.8157,694.6508,-219.9366
1940.0000,495.7433,660.5345,-1014.8491,541.1042,703.8398,-224.4380
1960.0000,491.9603,696.9645,-1017.9011,516.0617,698.9261,-231.5920
1980.0000,482.6658,671.7852,-1002.1128,516.8012,690.9341,-229.7136
2000.0000,482.3467,699.5607,-1024.4918,528.1696,693.0269,-240.1184
2020.0000,494.2488,679.5284,-1025.2446,539.6447,708.8932,-232.5702
2040.0000,518.1762,677.3228,-998.4113,547.6196,729.9691,-217.9932
2060.0000,506.5722,672.2244,-995.0598,520.7011,711.1925,-222.5556
2080.0000,480.6958,676.5121,-1020.3565,532.3344,688.8253,-234.6193
2100.0000,485.3758,757.4410,-1072.1111,504.4698,687.8380,-231.9391
2120.0000,497.8668,733.8900,-1048.3378,532.2437,705.9635,-229.9816
2140.0000,514.7742,703.3286,-1025.1672,534.7756,717.5125,-235.8945
2160.0000,496.0282,670.8318,-997.9976,530.3111,704.6629,-234.8056
2180.0000,470.6283,710.0068,-1032.2327,509.8965,669.7044,-239.2387
2200.0000,489.3673,707.6421,-1075.6144,525.2437,695.0540,-242.6377
2220.0000,485.0779,719.6644,-1067.9821,514.7022,693.1352,-247.2889
