t,AF3,F7,F3,F4,F8,AF7
1680.0000,-188.3872,471.2698,375.2767,657.0397,-328.5677,20.1883
1700.0000,-150.4375,501.6459,414.7565,709.0289,-301.0536,60.9307
1720.0000,-156.4615,481.2446,399.2027,693.0197,-290.7170,56.1006
1740.0000,-186.3304,469.7523,368.7942,670.0267,-307.0084,30.0028
1760.0000,-173.5585,478.0890,400.1525,701.0052,-298.7833,27.9278
1780.0000,-148.2665,469.9086,410.8440,723.9993,-280.8410,68.0640
1800.0000,-172.6119,474.9334,385.0946,684.0056,-300.8870,18.8606
1820.0000,-198.2881,449.1290,354.8765,665.9644,-320.7283,-0.7818
1840.0000,-147.6497,486.7392,408.0665,716.0494,-293.0306,39.8372
1860.0000,-138.2251,508.2528,421.8955,718.9313,-288.7358,45.1862
1880.0000,-160.6336,465.5161,397.0858,712.1418,-289.1074,26.8759
1900.0000,-142.2750,508.3721,437.9171,724.8649,-275.6564,43.1410
1920.0000,-126.5600,509.4213,414.1044,718.2149,-306.1727,51.8845
1940.0000,-147.2530,482.5779,417.8705,717.7373,-308.6104,39.1525
1960.0000,-148.5776,498.3305,406.1279,737.3248,-290.2243,49.8556
1980.0000,-154.3501,481.6919,398.8350,721.6063,-293.5486,36.1580
2000.0000,-155.4702,508.2044,409.1843,746.4897,-271.2593,56.9581
2020.0000,-153.4255,493.7375,416.7592,737.4653,-298.4938,37.0174
2040.0000,-120.4123,504.1273,446.2773,773.6284,-266.2315,72.9316
2060.0000,-141.5034,482.8647,412.6732,741.3016,-292.4854,56.0515
2080.0000,-157.2996,492.0997,406.3589,720.7747,-292.3245,44.0236
2100.0000,-133.5803,535.9050,411.5591,720.1114,-309.4673,46.8681
2120.0000,-125.1484,537.0872,435.4995,756.9717,-273.3643,71.1698
2140.0000,-147.6962,509.8715,422.4692,768.9576,-276.4076,88.8411
2160.0000,-157.0723,487.0424,408.5867,752.1411,-273.4196,62.2685
2180.0000,-155.8733,508.8858,394.3110,714.7604,-284.3326,59.7474
2200.0000,-175.9797,495.0065,392.7146,696.3004,-353.3839,20.3139
2220.0000,-177.9796,500.9221,387.1676,713.5814,-333.3304,25.6484
2240.0000,-146.8335,487.0302,405.8754,749.4945,-305.5107,65.4339
2260.0000,-184.1498,472.8309,379.0101,713.4026,-335.2713,30.5415
2280.0000,-183.6898,501.0092,382.0262,695.6525,-351.4862,26.5605
2300.0000,-171.2589,503.8814,385.8789,705.2578,-363.2569,17.3755
2320.0000,-187.5985,508.0216,375.1601,679.7853,-385.5742,-4.2757
2340.0000,-180.3689,501.8360,394.7253,718.0850,-336.1502,28.2891
2360.0000,-175.4750,505.0813,382.3203,689.9423,-368.6263,29.7268
2380.0000,-175.4713,505.7580,386.5680,695.9528,-376.1698,10.2143
2400.0000,-189.3571,507.1519,385.4592,664.0331,-409.7784,-4.0517
2420.0000,-186.6505,502.6909,376.4217,663.8202,-388.1391,4.0689
2440.0000,-184.2119,495.2752,386.6088,660.1421,-415.8030,3.0130
2460.0000,-186.7614,467.5466,384.2733,661.7324,-412.0193,2.9270
2480.0000,-186.1249,480.4177,383.7550,660.2005,-414.9107,1.0735
2500.0000,-158.8476,504.4862,412.1284,662.6697,-410.9418,5.7821
2520.0000,-171.0117,533.5300,396.9111,656.2668,-410.0178,4.1475
2540.0000,-157.9277,534.4399,408.0136,648.6560,-411.8409,2.7320
2560.0000,-152.9106,537.6377,416.0240,654.2830,-408.1228,5.2599
2580.0000,-186.0076,497.2773,385.8837,624.6272,-439.7939,-14.2050
2600.0000,-181.8555,490.7614,393.1306,626.2451,-449.1831,-9.5464
2620.0000,-172.0732,508.0912,402.7714,630.6712,-445.6770,4.5786
2640.0000,-198.8078,500.8813,362.2303,591.2041,-475.3168,-38.4312
2660.0000,-198.1299,506.9472,366.6863,594.6996,-468.5704,-30.4359
2680.0000,-223.7566,478.1105,342.3309,555.1293,-495.3776,-71.3070
2700.0000,-258.1389,440.8547,310.6067,529.7654,-537.4913,-108.6078
2720.0000,-240.7480,440.2190,334.3958,541.0397,-510.4735,-94.2954
2740.0000,-210.2052,476.7258,348.5443,563.8812,-504.4200,-78.6957
2760.0000,-206.6691,500.3714,368.4584,564.9248,-528.5249,-74.1941
2780.0000,-186.2289,502.4780,372.5047,589.0162,-503.3579,-56.7195
2800.0000,-200.6980,480.5920,343.4811,555.7349,-510.6089,-61.0623
2820.0000,-244.2063,443.3531,316.4353,533.1710,-559.3869,-99.7733
2840.0000,-232.6298,453.6898,340.5042,543.6077,-540.5561,-93.0159
2860.0000,-209.2417,475.2251,352.4312,544.3619,-564.3185,-83.9281
2880.0000,-226.6761,436.9184,337.5248,537.3856,-559.7100,-93.9772
2900.0000,-213.2414,455.9778,349.4513,542.5673,-559.3172,-83.9927
2920.0000,-249.6711,441.0663,319.5223,516.1741,-565.6931,-95.8508
2940.0000,-223.2232,473.9232,334.4438,525.7697,-557.3112,-89.0620
2960.0000,-231.6365,471.1316,331.5084,538.0026,-526.7155,-58.8243
2980.0000,-227.2572,469.5998,349.4528,544.9766,-526.3018,-54.1300
3000.0000,-216.6271,465.3204,340.4875,557.7856,-532.6591,-58.7640
3020.0000,-230.1797,455.5091,333.4916,531.2098,-564.2906,-68.1551
3040.0000,-220.6593,455.4908,348.4547,553.5257,-529.6518,-60.6590
3060.0000,-213.2190,468.3230,353.5251,571.4598,-525.3463,-30.1227
3080.0000,-212.6851,465.5985,335.4306,556.3278,-513.5931,-37.6370
3100.0000,-222.1870,473.3529,370.5807,571.6954,-508.3767,-61.2035
3120.0000,-176.6310,508.7602,372.3681,567.0927,-500.4971,-17.5830
3140.0000,-211.1965,473.2169,348.6426,556.8875,-497.4247,-36.2410
3160.0000,-198.6932,510.8651,350.3345,574.8979,-469.3813,-22.5655
3180.0000,-212.1870,504.0260,350.6958,567.1255,-478.5110,-28.2949
3200.0000,-209.6846,512.9543,349.2826,566.6735,-483.3021,-28.5650
3220.0000,-202.1233,511.9187,346.7441,570.3300,-469.5558,-21.2696
3240.0000,-182.6822,509.0399,363.1920,597.4921,-435.1668,4.4130
3260.0000,-184.1740,497.8929,344.8098,590.5201,-449.6899,-7.2959
3280.0000,-206.6543,496.1464,350.1655,599.3143,-435.0434,1.3599
3300.0000,-210.1999,499.8327,348.8741,600.7000,-416.8004,-1.2799
3320.0000,-189.6132,509.1505,354.0978,629.1825,-401.8974,5.3355
3340.0000,-214.2365,501.7986,349.9263,605.8477,-411.9634,-14.3269
3360.0000,-174.6576,555.1776,373.0638,608.0035,-417.7654,-1.5305
3380.0000,-166.2168,546.8055,352.9527,601.9683,-393.1192,16.6181
3400.0000,-192.5852,527.2766,390.0266,630.9302,-413.6473,-6.5609
3420.0000,-176.2153,531.8704,358.0239,627.0810,-381.2191,39.6386
3440.0000,-193.5704,529.2390,352.9533,616.8094,-413.5089,-1.6155
3460.0000,-169.2776,575.9379,378.0513,645.1748,-353.3193,39.6914
