t,1,2,3,4,5,6
1640.0000,116.4379,145.2363,-322.9708,-50.9178,-150.6452,289.9681
1660.0000,119.2659,129.3383,-319.5130,-52.0330,-157.9076,295.2428
1680.0000,110.0315,121.5473,-331.3961,-54.5128,-157.8472,296.5959
1700.0000,125.2230,122.7055,-336.1211,-68.5323,-171.6198,310.2312
1720.0000,120.4498,125.7252,-330.4241,-53.3620,-161.7233,293.0784
1740.0000,117.8180,125.9078,-328.6224,-46.8250,-148.4784,296.7830
1760.0000,120.3151,128.3965,-319.4254,-53.0283,-160.1137,297.5082
1780.0000,123.8010,129.3533,-321.8782,-46.1654,-152.2440,297.7489
1800.0000,114.6531,135.6906,-323.1918,-61.2065,-150.2114,302.3033
1820.0000,116.7183,145.0491,-319.2440,-64.8576,-154.3841,297.2996
1840.0000,114.4241,139.3314,-324.1864,-61.5535,-146.6989,303.7790
1860.0000,123.5107,149.6972,-334.5150,-74.9701,-165.4879,294.1269
1880.0000,138.7990,147.6562,-333.8028,-82.0217,-174.3792,293.0323
1900.0000,116.2583,159.7355,-327.9505,-81.5042,-155.4793,297.5055
1920.0000,110.0238,172.5456,-318.7208,-76.9163,-145.1641,288.1660
1940.0000,126.7813,187.4657,-333.4865,-81.2059,-155.3893,297.8841
1960.0000,143.2756,210.6818,-327.0601,-83.7417,-159.3597,302.0360
1980.0000,124.3098,245.1348,-327.0377,-87.0401,-153.1758,298.4658
2000.0000,122.6680,266.5795,-328.9967,-88.8553,-147.6305,305.4586
2020.0000,119.9530,287.1817,-319.2421,-88.7057,-144.0512,296.3386
2040.0000,129.4261,312.3694,-327.8335,-79.5252,-147.8457,300.6459
2060.0000,124.7306,321.9591,-327.0005,-84.6809,-140.9297,297.6122
2080.0000,126.1599,326.0030,-327.5742,-78.3878,-136.2936,295.7170
2100.0000,132.6686,339.4573,-321.1685,-95.5784,-150.1383,298.4442
2120.0000,130.3217,349.3535,-327.4216,-96.1164,-146.7859,301.7890
2140.0000,151.1163,337.6247,-331.7492,-80.9448,-141.7682,298.2068
2160.0000,139.0283,353.7930,-337.6928,-97.4539,-143.8954,302.5052
2180.0000,153.5972,360.2627,-333.9890,-96.6948,-153.2691,301.7132
2200.0000,157.3248,362.3348,-333.2839,-102.5630,-156.4892,301.1969
2220.0000,158.8098,359.3811,-336.6758,-95.1190,-150.3191,307.6165
2240.0000,146.6525,377.8545,-334.7068,-99.1926,-152.3622,299.3124
2260.0000,157.3035,372.5626,-338.0652,-105.2171,-156.0520,296.3504
2280.0000,160.7125,382.8841,-329.3862,-104.7453,-157.1842,297.1768
2300.0000,160.3173,389.8859,-338.1142,-108.5693,-166.2312,296.0129
2320.0000,179.3906,383.0284,-339.9722,-106.6822,-165.7310,307.2761
2340.0000,154.6467,393.6693,-325.8667,-111.9122,-155.6576,294.2513
2360.0000,182.3207,378.2235,-326.8216,-100.1738,-157.6639,297.7994
2380.0000,177.6846,391.9091,-325.9629,-105.3959,-161.8540,304.6247
2400.0000,178.7811,398.8535,-326.3842,-114.1328,-171.9456,299.8930
2420.0000,214.3987,385.4598,-336.6334,-118.2555,-188.0403,295.9774
2440.0000,179.9840,397.5337,-337.8626,-109.1067,-172.4845,298.8836
2460.0000,204.2918,395.4822,-330.4620,-114.9373,-178.1027,299.9907
2480.0000,207.0294,398.0002,-337.8621,-116.3716,-180.2197,298.2949
2500.0000,206.0273,400.8590,-338.6977,-113.4385,-175.8529,295.8905
2520.0000,209.0237,414.5281,-332.0096,-121.5209,-182.4237,301.6517
2540.0000,208.4310,414.2108,-332.6812,-111.5495,-175.8058,301.5487
2560.0000,212.9585,410.2944,-325.5090,-106.9034,-167.5261,303.8613
2580.0000,206.6844,439.6291,-321.5666,-116.2947,-180.8367,296.0373
2600.0000,212.2804,437.0807,-322.5437,-104.2309,-174.2507,300.7304
2620.0000,207.2349,443.1121,-325.6659,-99.6240,-175.7792,297.4067
2640.0000,211.5515,446.8524,-330.1898,-86.1507,-170.6519,306.5555
2660.0000,216.0902,455.4063,-321.1680,-89.9881,-176.5430,301.8701
2680.0000,218.0232,454.6709,-320.5148,-85.8637,-177.4730,302.3482
2700.0000,222.3162,464.5665,-322.4880,-88.1933,-183.4806,309.9062
2720.0000,230.8240,470.5304,-317.1531,-82.6276,-176.7220,304.3889
2740.0000,229.2963,467.0504,-318.1271,-65.3380,-168.5783,307.8338
2760.0000,234.0860,467.8541,-318.9614,-66.9096,-176.3433,308.7280
2780.0000,218.5193,475.2413,-316.0310,-65.6039,-168.5156,308.0025
2800.0000,210.0030,469.9489,-324.7657,-54.3868,-156.1716,310.9219
2820.0000,239.9613,474.1320,-327.9520,-62.4777,-183.2868,311.7942
2840.0000,238.1293,475.8877,-329.4405,-64.3024,-186.8866,308.5823
2860.0000,227.3089,470.6230,-319.8594,-59.8763,-180.4561,301.4644
2880.0000,228.3364,465.2988,-312.4077,-54.3568,-177.0948,307.6758
2900.0000,230.7732,459.3841,-314.2079,-41.8372,-172.7372,307.7917
2920.0000,228.5584,464.2375,-312.2885,-62.6060,-185.0612,299.6766
2940.0000,211.5324,454.8651,-314.4793,-48.7247,-164.5863,308.0010
2960.0000,211.6693,457.8720,-326.6949,-46.9371,-165.8245,309.6613
2980.0000,220.2687,449.8821,-324.2198,-45.1375,-171.7408,308.2925
3000.0000,224.1595,454.3408,-324.9103,-43.3037,-171.4056,311.0365
3020.0000,202.7821,448.8130,-334.3460,-48.1725,-163.4501,307.2897
3040.0000,209.8397,453.4891,-329.3009,-54.2453,-173.5210,308.6971
3060.0000,205.3719,446.4761,-326.2782,-57.5158,-164.1539,312.7289
3080.0000,209.9607,443.7553,-323.0664,-59.8763,-171.7450,310.6142
3100.0000,233.9450,436.8234,-338.8134,-60.6941,-182.5625,316.0780
3120.0000,234.2476,430.0099,-340.9711,-63.3062,-183.2504,312.1403
3140.0000,232.8199,432.0067,-340.3302,-71.8722,-183.9813,314.9129
3160.0000,209.8635,420.2767,-342.5247,-66.3536,-176.0525,310.2608
3180.0000,195.6413,415.1942,-337.1031,-61.0762,-164.2332,307.3118
3200.0000,206.2975,415.8962,-334.3741,-84.1794,-187.2434,303.4129
3220.0000,218.6291,395.2642,-341.6582,-73.6491,-184.7600,314.2569
3240.0000,189.0877,393.2259,-328.1362,-78.0928,-166.0436,309.5071
3260.0000,224.8801,379.3951,-344.5011,-83.3588,-183.4133,319.6584
