t,AF3,F7,F3,F4,F8,AF7
1800,33.1103,-295.6595,131.1021,1082.9335,-489.2667,557.1875
1820,40.4135,-282.5064,133.4729,1065.2012,-503.2183,552.989
1840,34.1608,-302.2116,140.7975,1089.3708,-506.8584,547.6154
1860,32.9315,-298.6228,143.5307,1098.3988,-496.5331,556.7271
1880,38.4457,-279.0318,133.851,1078.7415,-513.9752,543.0561
1900,39.3392,-280.8625,127.9726,1078.4296,-520.476,542.8203
1920,48.5949,-264.1878,146.2594,1092.7977,-536.6486,549.5743
1940,32.2927,-283.3434,164.5997,1086.7379,-490.5792,550.3295
1960,28.2963,-306.3733,147.8339,1072.7106,-471.8435,557.0239
1980,28.0415,-305.7371,136.0438,1075.0469,-487.7584,559.1453
2000,37.5445,-287.4851,147.1493,1092.819,-516.5929,541.4799
2020,48.5798,-272.0597,155.1057,1110.5112,-533.0118,548.5099
2040,42.5539,-270.1745,160.1587,1109.6101,-527.6149,543.4542
2060,38.8998,-284.7401,121.8443,1079.7251,-507.8231,547.6743
2080,39.3403,-284.0566,126.8328,1109.5515,-523.9152,554.5959
2100,56.6336,-272.7142,144.222,1127.4294,-547.889,545.1941
2120,51.19,-271.9441,171.7233,1125.1393,-531.4623,541.757
2140,53.1455,-261.3347,159.6992,1091.7526,-535.3121,548.0213
2160,57.7235,-273.3131,133.0488,1107.5107,-533.3238,550.2465
2180,49.8279,-280.9104,144.7594,1113.4666,-524.5197,550.0001
2200,54.928,-274.2318,162.6502,1112.7701,-527.7628,544.1931
2220,60.3747,-265.8749,188.3128,1137.0178,-540.2836,543.3333
2240,54.3864,-263.7142,173.5515,1096.8516,-531.8613,549.1437
2260,66.6301,-261.4196,163.0688,1133.1586,-564.8127,539.0204
2280,61.1411,-267.2719,149.549,1117.006,-546.694,544.7433
2300,69.5352,-264.9448,155.2768,1124.3002,-548.0634,548.8361
2320,70.2998,-255.8433,162.516,1120.5332,-558.8745,539.6552
2340,80.0851,-246.8641,181.7588,1139.6553,-575.9086,537.3223
2360,79.1984,-249.7525,156.7916,1121.483,-561.0565,538.9309
2380,70.0741,-260.8771,139.7916,1098.3505,-548.3717,542.7012
2400,70.435,-269.8927,129.9073,1111.7085,-555.0702,545.2743
2420,66.4452,-277.2018,146.4047,1110.5507,-535.0682,545.7811
2440,64.0742,-276.8972,168.4482,1114.9504,-541.015,541.7966
2460,65.8279,-270.8403,164.1175,1117.4928,-545.9517,532.5317
2480,64.3242,-265.213,158.4467,1092.7896,-545.4693,549.7799
2500,68.3096,-267.5924,142.8421,1084.5349,-546.9771,545.9765
2520,60.9812,-273.372,139.9299,1091.4581,-548.6451,547.7585
2540,71.3924,-267.5042,149.3279,1116.3278,-569.9424,546.2906
2560,83.2542,-256.8636,162.7357,1090.696,-563.0417,547.7335
2580,82.4003,-249.9085,145.3473,1096.4629,-582.1622,542.0597
2600,80.5867,-255.5159,150.2422,1094.0564,-571.2849,540.1046
2620,78.125,-258.2939,156.1297,1104.7996,-565.7397,547.3027
2640,83.2922,-262.8335,149.9226,1104.6948,-570.3423,545.0355
2660,86.2247,-257.7356,151.9957,1094.4731,-571.9457,544.4772
2680,89.4285,-250.2228,146.5623,1102.1469,-592.7391,547.2778
2700,91.8904,-245.4093,153.6281,1089.8413,-582.6666,544.606
2720,96.3369,-244.2307,146.6403,1099.0022,-598.4133,540.3755
2740,97.0726,-246.1206,149.3194,1113.5531,-589.9777,537.8402
2760,99.9688,-252.5434,168.9946,1128.8169,-589.887,531.9645
2780,100.9004,-262.2519,172.9647,1138.8571,-586.2921,533.8067
2800,96.7701,-266.4265,165.7246,1125.4365,-581.3276,541.2945
2820,99.279,-252.9229,147.1283,1101.9231,-587.0524,539.8669
2840,100.6236,-259.5316,145.8612,1118.7686,-576.5115,540.2256
2860,104.5885,-263.92,146.3154,1115.8771,-585.0424,540.8496
2880,106.7052,-255.5778,165.1889,1115.9148,-589.0312,537.0483
2900,113.337,-254.1507,165.6128,1111.8867,-607.4159,534.5742
2920,118.3967,-234.5238,160.6404,1095.7858,-625.9468,529.2419
2940,126.8761,-228.4339,145.0653,1098.5992,-626.6606,536.6172
2960,117.1531,-253.7028,150.9903,1127.0154,-600.819,534.4951
2980,118.8841,-252.6136,151.684,1110.4027,-614.0428,535.6268
3000,135.5693,-222.376,161.7685,1115.3693,-648.9167,534.4302
3020,145.0076,-206.3492,153.3341,1104.5955,-665.1815,533.2365
3040,142.0025,-205.0927,150.2165,1089.181,-656.4127,532.3895
3060,139.8572,-215.2737,135.4178,1073.0677,-643.6841,528.7701
3080,143.8407,-218.6696,138.1218,1092.6987,-644.2858,531.8105
3100,143.7134,-226.9401,148.8694,1094.7522,-640.4285,534.6244
3120,154.4456,-203.8006,140.9707,1091.9551,-672.5919,528.7684
3140,150.4492,-207.451,142.5327,1079.5396,-652.9179,537.6579
3160,149.6754,-216.3691,117.9267,1077.2676,-650.166,537.5656
3180,148.988,-227.7138,129.6389,1081.326,-643.4491,547.7318
3200,159.5249,-217.0798,139.181,1086.8846,-655.7949,535.2209
3220,165.3524,-220.9008,153.3893,1095.538,-667.4348,530.7374
3240,162.1529,-231.5961,148.5176,1093.5925,-665.9558,530.939
3260,163.2037,-217.278,129.383,1071.6407,-659.0723,531.9255
3280,171.4868,-217.0751,126.5348,1063.6172,-670.8062,542.675
3300,162.2665,-205.8593,133.1351,1039.5226,-666.5967,535.9406
3320,177.1885,-194.7083,138.5865,1048.688,-683.3079,533.7163
3340,182.9252,-187.9645,143.0979,1063.0345,-698.1806,532.7892
3360,182.1638,-181.6477,143.1677,1080.8158,-707.4839,524.7773
3380,187.3463,-175.0473,134.0705,1058.3596,-698.2332,526.0718
3400,189.149,-177.2672,126.4008,1042.4249,-696.0121,532.2128
3420,191.3857,-187.4598,125.9317,1065.7538,-699.1276,525.0741
3440,191.3292,-204.4802,123.7699,1080.983,-693.7639,531.4417
3460,197.1177,-189.646,129.3504,1078.3003,-700.6693,533.517
3480,206.0147,-175.5756,118.5179,1060.9471,-732.0357,531.5491
3500,202.7862,-178.4252,100.1109,1053.0665,-729.0353,527.0125
3520,200.2707,-180.5531,101.8438,1051.53,-707.4764,531.4487
3540,204.0264,-172.2674,127.3218,1081.7433,-767.4537,525.7672
3560,208.6783,-163.1833,143.5181,1084.3391,-727.787,523.8577
3580,208.981,-160.3303,141.5474,1100.976,-738.7941,519.2262
3600,204.1979,-155.5622,112.2144,1070.5319,-736.634,527.7361
3620,206.121,-151.9437,127.638,1052.6301,-731.7056,525.6691
3640,210.1115,-150.6084,132.3322,1053.5596,-744.0054,521.6038
3660,212.961,-145.0921,145.8418,1081.9559,-751.0029,520.6672
3680,207.8412,-155.5319,161.6469,1102.8467,-750.2083,519.6734
3700,212.8257,-146.7238,131.0112,1093.2524,-765.0352,518.1016
3720,218.6708,-140.6472,127.755,1076.7133,-764.3471,525.8285
3740,211.6731,-140.8914,141.4165,1090.2764,-759.9551,514.8341
3760,212.5184,-133.0669,122.8472,1061.0885,-762.6673,518.9069
3780,215.3701,-133.8201,131.2092,1066.3085,-767.2792,517.9656
3800,212.2714,-121.9474,137.2164,1074.002,-777.2213,514.64
3820,214.8466,-133.5386,126.2925,1068.4697,-769.1594,521.801
3840,205.8499,-150.2926,139.0825,1058.1874,-745.8849,520.7915
3860,211.7533,-143.6979,133.182,1067.4158,-755.2286,517.5402
3880,211.0056,-143.827,143.928,1088.3442,-758.9713,523.7872
3900,206.7919,-171.6303,111.8431,1077.8707,-742.4256,529.5071
3920,213.4516,-160.0985,129.4112,1077.5948,-762.4631,522.4069
3940,207.8629,-171.4912,121.8815,1071.5577,-743.2658,533.7568
3960,212.3857,-169.3303,149.3554,1107.4553,-751.3381,522.3148
3980,213.4877,-163.1396,172.0185,1121.2765,-747.9161,520.6101
